,username,no_review,review_list,no_product,product_dict,mean_rating
11730,lhm3425,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
11731,li_suriani,1,[nan],1,{'6f57eed4-a7a1-4c01-8b43-2ddc489fdf68': 1},5.0
11732,li_wei_0122,1,"['Best Feature(s): fast delivery silent keyboard\nValue For Money: yes\nnot bad, buy for office']",1,{'df888b69-16e7-410a-b8ee-2f39479cc415': 1},5.0
11733,li_wi,1,"['Keyboard working fine, mouse working fine. Delivery was fast and items well packed.']",1,{'7562b144-e782-4782-9ce7-19a3ebf2903e': 1},5.0
11734,li_zhang,1,"['high quality products, good buy']",1,{'284914a9-6d45-4f4d-8fc3-7751a141dd4e': 1},5.0
11735,liaaryani96,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
11736,liaazrul8582,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
11737,liam3012,1,['Also true to the description\nWorth buying it\nJust get coins'],1,{'9bfe3373-1fef-4500-88ab-3a6a50137c25': 1},5.0
11738,lianar,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11739,liang2995,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11740,liang9991,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
11741,liankaren,1,[nan],1,{'3730ef72-101e-4dc6-86e7-b6ce67c4d49a': 1},5.0
11742,liansenng,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11743,liansusie,1,[nan],1,{'c85e68dc-cd67-4947-a0ef-ed3e725d144d': 1},5.0
11744,liaoziyang,1,[nan],1,{'c705be11-b815-44a5-9001-5f949c89c587': 1},5.0
11745,liauchoonsiong,1,['My son is happy with it🙏🏻'],1,{'ffd204e4-8711-489a-9ca6-0796527b776f': 1},5.0
11746,liaujunxi,2,"[nan, nan]",2,"{'899b38f2-3d1d-4ff1-9410-defa444f3861': 1, '9bfe3373-1fef-4500-88ab-3a6a50137c25': 1}",5.0
11747,liauyuancheng,1,['Performance: Tactile and response to feedback quickly'],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
11748,liayayabembem,1,[nan],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
11749,libinsim,1,[nan],1,{'06784e1a-c950-4ffe-b94c-39ef24144617': 1},5.0
11750,lidimin1980,1,['Well packed and fast delivery'],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
