,reviewee,reviewer,reviewer_identity,review_date,review_star,Amazing chat,review,Goes the extra mile,Knows their stuff,Unique listings,Easygoing buyer,Fast and decisive
113,lifenotsimple.poh,setsuren,buyer,2 years ago,5.0,0.0,"Friendly and efficient seller. Closed the deal within an hour, highly recommended!",0.0,0.0,0.0,0.0,0.0
114,lifenotsimple.poh,DPGJwin,buyer,2 years ago,5.0,0.0,Very good seller very good price and product also,0.0,0.0,1.0,0.0,0.0
115,lifenotsimple.poh,nexxal,buyer,2 years ago,5.0,1.0,"fast deal. prompt respond. item delivers very fast. packaging is ideal, item delivers undamaged.",0.0,0.0,0.0,0.0,0.0
116,lifenotsimple.poh,tenashar,buyer,2 years ago,5.0,0.0,Great seller 5 stars! Prompt and efficient!,0.0,1.0,0.0,0.0,0.0
117,lifenotsimple.poh,cluckinggood.,buyer,2 years ago,5.0,0.0,Super helpful seller! Very nice and pleasant. Legit items.,0.0,0.0,0.0,0.0,0.0
118,lifenotsimple.poh,dtech.integrated.pte.ltd,buyer,2 years ago,5.0,0.0,"Items in good condition, delivery was speedy.",0.0,0.0,0.0,0.0,0.0
119,lifenotsimple.poh,smust,buyer,2 years ago,5.0,0.0,Highly recommended seller. True to her words and hassle free transaction. Promptly when replying message. ;),0.0,0.0,0.0,0.0,0.0
120,lifenotsimple.poh,24rag_n_bone24,buyer,2 years ago,5.0,0.0,one of the best seller I have dealt with. easy going and nice to chat with!,0.0,0.0,0.0,0.0,0.0
121,lifenotsimple.poh,er76_,buyer,3 years ago,5.0,0.0,great seller ! very polite and understanding 😊 she's on time for meet ups too. Thanks for the item and hope to deal with you again.,0.0,0.0,0.0,0.0,0.0
122,lifenotsimple.poh,sgbay22,buyer,3 years ago,5.0,0.0,Awesome. Hope to deal again.,0.0,0.0,0.0,0.0,0.0
123,lifenotsimple.poh,hitman0,buyer,3 years ago,5.0,0.0,Hassle free and prompt delivery. Thumbs up!,0.0,0.0,0.0,0.0,0.0
124,lifenotsimple.poh,bitbityang,buyer,3 years ago,5.0,0.0,"Friendly and prompt seller, thank you",0.0,0.0,0.0,0.0,0.0
125,lifenotsimple.poh,ay9999313,buyer,3 years ago,5.0,0.0,Great seller to deal with. Prompt replies. Thumbs up. Recommended,0.0,0.0,0.0,0.0,0.0
126,lifenotsimple.poh,daveyang14,seller,3 years ago,5.0,0.0,"Very sincere buyer, highly recommended. Cheers.",0.0,0.0,0.0,0.0,0.0
127,lifenotsimple.poh,mia2223,buyer,3 years ago,5.0,0.0,Thank u seller! Super kind to drop it off at doorstep,0.0,0.0,0.0,0.0,0.0
128,lifenotsimple.poh,kaylm99,buyer,3 years ago,5.0,0.0,"Wonderful seller! Item as described, punctual and flexible on meeting times - would deal with again",0.0,0.0,0.0,0.0,0.0
129,lifenotsimple.poh,madted84,buyer,3 years ago,5.0,0.0,"Fast replies, punctual, very accommodative, fast & smooth transaction. Recommended! 😊",0.0,0.0,0.0,0.0,0.0
130,lifenotsimple.poh,oceangrace,buyer,3 years ago,5.0,0.0,Thanks for meeting up so promptly. Item is as per description. 👍,0.0,0.0,0.0,0.0,0.0
131,lifenotsimple.poh,newbie.,buyer,3 years ago,5.0,0.0,Items delivered in awesome condition ! Smooth hassle free deal ! 👍🏼👍🏼,0.0,0.0,0.0,0.0,0.0
132,lifenotsimple.poh,newbie.,buyer,3 years ago,5.0,0.0,Items delivered in perfect condition ! Hassle free deal ! 👍🏼👍🏼,0.0,0.0,0.0,0.0,0.0
