merchant_id,name,Ratings,response rate,joined,products,response time,follower
c0bf75d0-0545-409c-90ea-3c2986cf0255,POPULAR Official Store,37.2k,68%,3 years ago,852,within hours,92.9k
7f2ccbf6-13b0-4701-8277-3a543db56a06,Four Seasons🌱🌳🍁☃️,1k,98%,15 months ago,48,within hours,531
daea7183-e093-4e8c-b1d6-54547656e1ed,Cybernetics Tech Official,9.9k,94%,12 months ago,130,within hours,4.3k
9565cbe5-9cba-4a2f-9656-99f7d193fbcb,Logitech G Official Store,10.9k,78%,3 years ago,122,within hours,48.7k
39329d40-2118-452e-be1d-e7443125a380,sharesunshine..sg,1.2k,61%,3 years ago,195,within hours,536
b6dd8bb2-3ebf-406c-adfd-1418ffddaaeb,heibox,1.2k,93%,9 months ago,16,within hours,932
a44894d9-758f-4382-80fe-0f79d45b359e,LionShield,206.8k,84%,5 years ago,1.4k,within hours,110.7k
e020a8ab-57c0-4619-8446-647f1e74eb12,ContessaStore,16.9k,99%,25 months ago,290,within hours,3.9k
bdc3ce26-0055-4e1b-9a4c-4a34c2c49c00,LionShield,206.8k,84%,5 years ago,1.4k,within hours,110.7k
ea243cc9-1bd4-4d8c-96d8-da0974679c8c,LGT_LetsGoTogether,1.6k,95%,34 months ago,45,within hours,1.5k
3a4376b1-1598-4aa9-9f5a-7cda8b4c04bf,Apple Flagship Store,105.2k,92%,29 months ago,305,within hours,102.6k
0f27ad8f-b4e2-4cd3-9e9a-a8a4faa60ae2,ELCNET STORE,2.6k,86%,24 months ago,249,within hours,1.6k
361e0313-a6ad-49d9-9e6c-4c43dcd6e0f2,Leapfrog E-Store,24.7k,55%,7 years ago,203,within hours,8.3k
7443434b-d84e-4d4f-9359-5b2a5a3e903a,GamerPushCart,1.8k,96%,3 years ago,46,within hours,199
b4528041-14c2-46dd-8abe-d0e97bfea62e,Logitech Official Store,74.8k,90%,5 years ago,180,within hours,173.4k
797d1d02-2ae1-4bf7-8c2b-0dc0f8b6ca01,JCgadgets,1.3k,74%,23 months ago,23,within hours,1.1k
403b671a-2280-4043-831a-96d22e8ed977,Smart Zheng,30.3k,100%,5 years ago,486,within minutes,7.2k
0cdfa454-44ab-4546-be1e-520503896703,samanthayap1983,9.4k,7%,6 years ago,440,within hours,794
774397e4-36cf-44f9-bf17-346e4047895d,Spark HD ,26.6k,98%,3 years ago,377,within hours,8.6k
2742502e-80d2-4189-a4f3-c3026b184c26,Collen,321,64%,22 months ago,305,within hours,271
a28722b6-b41e-43d2-a9f7-3f3fc0e50a6b,Aukey Official Store,25.4k,99%,5 years ago,190,within hours,47.7k
a303317a-11e2-4fdf-89d5-74d1de1e7838,ELECOM SINGAPORE Official Store,5k,54%,5 years ago,386,within hours,9.4k
12926415-7b7f-4d2f-bf99-c0679ebda255,NuPhy.sg,3,23%,3 months ago,10,within hours,108
