,username,no_review,review_list,no_product,product_dict,mean_rating
8664,nuwiwiewie,1,[nan],1,{'96857c25-2f58-4396-b635-73ffadd1d942': 1},5.0
8665,nvf4nhedu0,1,"['No regrets of buying it! As a music lover I enjoy the sound! Best to buy, worth it!']",1,{'614b8113-45bf-443e-9851-66276a8612a4': 1},5.0
8666,nvs0509,1,['Good product'],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
8667,nw_030244,1,[nan],1,{'87ea43cc-b061-4bd9-b495-ff9cd3a5658c': 1},5.0
8668,nw_uq6b2om,1,[nan],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
8669,nwaynandarwai,1,[nan],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8670,nwayphyuhpwaywai,1,[nan],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8671,nxnutella,2,"['I bought 2 but 1 is not working so the seller gave me a coupon to exchange thanks', 'good']",1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 2},5.0
8672,nyanwinlin,1,[nan],1,{'6c38ad1f-097a-466f-9447-53a35e5e6fe6': 1},5.0
8673,nyeinmyo,1,[nan],1,{'56ca8a52-1823-40d9-a909-82cac081f747': 1},5.0
8674,nygma92,1,['Delivery was quick. Took only one day. Music playing on the speaker sound very good. Happy with my purchase. 👍🏽'],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8675,nyikaungsett,1,[nan],1,{'33fcb712-6784-4c38-958c-a182d43b5f9d': 1},5.0
8676,nyoomtastic,2,"[nan, 'Small and powerful, good buy']",2,"{'33fcb712-6784-4c38-958c-a182d43b5f9d': 1, 'ebe3f747-1ab9-4650-beb6-b6949e44d61d': 1}",5.0
8677,nypipa,1,['Delivery was fast and works very well. Great buy. '],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8678,nysoon,1,[nan],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8679,nytefade,1,['Works well!'],1,{'f8bc4389-b7dc-48a4-ba43-b0dc63a2cdcd': 1},5.0
8680,nzbvzvt9u5,1,[nan],1,{'33fcb712-6784-4c38-958c-a182d43b5f9d': 1},5.0
8681,nzhiyong,1,[nan],1,{'83541195-e62e-4112-b05e-1602b6c202e6': 1},4.0
8682,o*****1,1,"[""Its mint green! love it so much, easily portable and battery life is so good??!! I have used it for about 4 days and I charged it for the first time yesterday. Charging didn't took long too! just 1 or 2 hours for a full charge. Connects so fast and quality is not bad :)""]",1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8683,o*****2,2,"['Best Feature(s): Good\nValue For Money: Good\nPerformance: Good\nGood pair of USB speakers, never like the 3.5mm audio type. Will recommend to all. Fast local shipping too. Thanks.', 'Best Feature(s): Good\nValue For Money: Good\nPerformance: Good\nGood decent USB speakers. Will recommend to all. Thanks.']",1,{'f8bc4389-b7dc-48a4-ba43-b0dc63a2cdcd': 2},5.0
8684,o*****3,1,"['Performance: Good, loud and clear\nBest Feature(s): Small and durable\nValue For Money: Yes\nTried the bluetooth is working ok but yet to try the microsd card. Music is loud and volume is adjustable and is working fine too. Look very interesting and rather worth it because there is light blinking while the music is on, very beautiful, like it alot, thanks. Maybe will buy more for the light.']",1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
8685,o*****4,1,"[""Came very well packed in bubble wrap although small item. Can use fresh out of the box. A short usb charging cable. Surprisingly 👍and volume is loud. Don't know how long they will last. Let's see but it's one of those value for money purchases. Keep up the good product offering and great service!""]",1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
